Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,20-24 anys,31
2016,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,20-24 anys,17
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,20-24 anys,17
2016,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,20-24 anys,2
2016,7,Horta-Guinardó,43,Horta,Dona,Estrangera,20-24 anys,118
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,20-24 anys,118
2016,8,Nou Barris,45,Porta,Dona,Estrangera,20-24 anys,122
2016,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,20-24 anys,103
2016,8,Nou Barris,47,Can Peguera,Dona,Estrangera,20-24 anys,7
2016,8,Nou Barris,48,la Guineueta,Dona,Estrangera,20-24 anys,46
2016,8,Nou Barris,49,Canyelles,Dona,Estrangera,20-24 anys,7
2016,8,Nou Barris,50,les Roquetes,Dona,Estrangera,20-24 anys,138
2016,8,Nou Barris,51,Verdun,Dona,Estrangera,20-24 anys,108
2016,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,20-24 anys,148
2016,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,20-24 anys,40
2016,8,Nou Barris,54,Torre Baró,Dona,Estrangera,20-24 anys,19
2016,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,20-24 anys,126
2016,8,Nou Barris,56,Vallbona,Dona,Estrangera,20-24 anys,5
2016,9,Sant Andreu,57,la Trinitat Vella,Dona,Estrangera,20-24 anys,100
2016,9,Sant Andreu,58,Baró de Viver,Dona,Estrangera,20-24 anys,6
2016,9,Sant Andreu,59,el Bon Pastor,Dona,Estrangera,20-24 anys,47
2016,9,Sant Andreu,60,Sant Andreu,Dona,Estrangera,20-24 anys,149
2016,9,Sant Andreu,61,la Sagrera,Dona,Estrangera,20-24 anys,148
2016,9,Sant Andreu,62,el Congrés i els Indians,Dona,Estrangera,20-24 anys,88
2016,9,Sant Andreu,63,Navas,Dona,Estrangera,20-24 anys,107
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Estrangera,20-24 anys,207
2016,10,Sant Martí,65,el Clot,Dona,Estrangera,20-24 anys,122
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Estrangera,20-24 anys,142
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Estrangera,20-24 anys,32
